node_name,memory_usage,cpu_usage,cpu_cores,total_memory,jobId,timestamp
worker21,0.0,0.7837005007085285,4,1.0,application_1726669773678_0040,2024-09-20T16:17:32
worker22,0.0,0.8411563115317322,4,1.0,application_1726669773678_0040,2024-09-20T16:17:32
worker23,25.0,1.5064882925726275,2,8.0,application_1726669773678_0040,2024-09-20T16:17:32
worker24,0.0,0.934977549942706,4,1.0,application_1726669773678_0040,2024-09-20T16:17:32
worker25,0.0,0.7976726308601689,4,1.0,application_1726669773678_0040,2024-09-20T16:17:32
worker26,25.0,0.9369673505470688,2,8.0,application_1726669773678_0040,2024-09-20T16:17:32
worker27,0.0,0.8064187684337032,4,1.0,application_1726669773678_0040,2024-09-20T16:17:32
worker28,25.0,1.4702085437551693,2,8.0,application_1726669773678_0040,2024-09-20T16:17:32
worker29,0.0,0.8480603160022082,4,1.0,application_1726669773678_0040,2024-09-20T16:17:32
worker1,0.0,0.5426933988893379,4,1.0,application_1726669773678_0040,2024-09-20T16:17:34
worker2,0.0,0.5735703108081025,4,1.0,application_1726669773678_0040,2024-09-20T16:17:34
worker3,0.0,0.5793044197863417,4,1.0,application_1726669773678_0040,2024-09-20T16:17:34
worker4,0.0,0.5665705288158684,4,1.0,application_1726669773678_0040,2024-09-20T16:17:34
worker5,0.0,0.5063089979564617,4,1.0,application_1726669773678_0040,2024-09-20T16:17:34
worker6,0.0,0.5572558535003269,4,1.0,application_1726669773678_0040,2024-09-20T16:17:34
worker7,0.0,0.551634064683526,4,1.0,application_1726669773678_0040,2024-09-20T16:17:34
worker8,25.0,1.0490614319766611,2,8.0,application_1726669773678_0040,2024-09-20T16:17:34
worker9,0.0,0.5412882829347598,4,1.0,application_1726669773678_0040,2024-09-20T16:17:34
worker10,0.0,0.5596949978072585,4,1.0,application_1726669773678_0040,2024-09-20T16:17:34
worker11,0.0,0.5335433734788619,4,1.0,application_1726669773678_0040,2024-09-20T16:17:34
worker12,0.0,0.519574684245927,4,1.0,application_1726669773678_0040,2024-09-20T16:17:34
worker13,0.0,0.8977780661656665,4,1.0,application_1726669773678_0040,2024-09-20T16:17:34
worker14,25.0,0.9939422965875244,2,8.0,application_1726669773678_0040,2024-09-20T16:17:34
worker15,0.0,0.7334757513787982,4,1.0,application_1726669773678_0040,2024-09-20T16:17:34
worker16,0.0,0.8257515582832831,4,1.0,application_1726669773678_0040,2024-09-20T16:17:34
worker17,0.0,0.928437880556976,4,1.0,application_1726669773678_0040,2024-09-20T16:17:34
worker18,0.0,0.8500993726242578,4,1.0,application_1726669773678_0040,2024-09-20T16:17:34
worker19,25.0,1.513237387616162,2,8.0,application_1726669773678_0040,2024-09-20T16:17:34
worker20,0.0,0.8956012194746288,4,1.0,application_1726669773678_0040,2024-09-20T16:17:34
worker21,0.0,0.7840741617325397,4,1.0,application_1726669773678_0040,2024-09-20T16:17:34
worker22,0.0,0.8415080313073697,4,1.0,application_1726669773678_0040,2024-09-20T16:17:34
worker23,25.0,1.5071663862301854,2,8.0,application_1726669773678_0040,2024-09-20T16:17:34
worker24,0.0,0.9353638782601092,4,1.0,application_1726669773678_0040,2024-09-20T16:17:34
worker25,0.0,0.7980706620960953,4,1.0,application_1726669773678_0040,2024-09-20T16:17:34
worker26,25.0,0.9376349947691431,2,8.0,application_1726669773678_0040,2024-09-20T16:17:34
worker27,0.0,0.806758322331369,4,1.0,application_1726669773678_0040,2024-09-20T16:17:34
worker28,25.0,1.4709013452892994,2,8.0,application_1726669773678_0040,2024-09-20T16:17:34
worker29,0.0,0.8483980548122605,4,1.0,application_1726669773678_0040,2024-09-20T16:17:34
worker1,0.0,0.5430230326281982,4,1.0,application_1726669773678_0040,2024-09-20T16:17:36
worker2,0.0,0.5740318670652611,4,1.0,application_1726669773678_0040,2024-09-20T16:17:36
worker3,0.0,0.5796705812502356,4,1.0,application_1726669773678_0040,2024-09-20T16:17:36
worker4,0.0,0.5669113219452848,4,1.0,application_1726669773678_0040,2024-09-20T16:17:36
worker5,0.0,0.5066532135909352,4,1.0,application_1726669773678_0040,2024-09-20T16:17:36
worker6,0.0,0.5576607262279931,4,1.0,application_1726669773678_0040,2024-09-20T16:17:36
worker7,0.0,0.5520048535205047,4,1.0,application_1726669773678_0040,2024-09-20T16:17:36
worker8,25.0,1.049747315494165,2,8.0,application_1726669773678_0040,2024-09-20T16:17:36
worker9,0.0,0.5416535064384109,4,1.0,application_1726669773678_0040,2024-09-20T16:17:36
worker10,0.0,0.5601710168166907,4,1.0,application_1726669773678_0040,2024-09-20T16:17:36
worker11,0.0,0.5339839924913936,4,1.0,application_1726669773678_0040,2024-09-20T16:17:36
worker12,0.0,0.5199670119303113,4,1.0,application_1726669773678_0040,2024-09-20T16:17:36
worker13,0.0,0.8981303662818241,4,1.0,application_1726669773678_0040,2024-09-20T16:17:36
worker14,25.0,0.9946372050759766,2,8.0,application_1726669773678_0040,2024-09-20T16:17:36
worker15,0.0,0.7338216255868169,4,1.0,application_1726669773678_0040,2024-09-20T16:17:36
worker16,0.0,0.8260990824802361,4,1.0,application_1726669773678_0040,2024-09-20T16:17:36
worker17,0.0,0.9287840796737501,4,1.0,application_1726669773678_0040,2024-09-20T16:17:36
worker18,0.0,0.8500980272552305,4,1.0,application_1726669773678_0040,2024-09-20T16:17:36
worker19,25.0,1.513883486752432,2,8.0,application_1726669773678_0040,2024-09-20T16:17:36
worker20,0.0,0.8959408460545881,4,1.0,application_1726669773678_0040,2024-09-20T16:17:36
