appsPending,appsRunning,availableMB,allocatedMB,totalMB,availableVirtualCores,allocatedVirtualCores,totalVirtualCores,totalNodes,activeNodes,unhealthyNodes,shutdownNodes,cpuUsage,memoryUsage,jobId,timestamp
0,1,226304,11264,237568,222,10,232,29,29,0,0,4.3,4.7,application_1726669773678_0043,2024-09-20T16:24:42
0,1,228352,9216,237568,224,8,232,29,29,0,0,3.4,3.9,application_1726669773678_0043,2024-09-20T16:24:44
0,1,230400,7168,237568,226,6,232,29,29,0,0,2.6,3.0,application_1726669773678_0043,2024-09-20T16:24:46
0,1,235520,2048,237568,231,1,232,29,29,0,0,0.4,0.9,application_1726669773678_0044,2024-09-20T16:26:03
0,1,206848,30720,237568,203,29,232,29,29,0,0,12.5,12.9,application_1726669773678_0044,2024-09-20T16:26:05
0,1,202752,34816,237568,199,33,232,29,29,0,0,14.2,14.7,application_1726669773678_0044,2024-09-20T16:26:07
0,1,206848,30720,237568,203,29,232,29,29,0,0,12.5,12.9,application_1726669773678_0044,2024-09-20T16:26:09
0,1,206848,30720,237568,203,29,232,29,29,0,0,12.5,12.9,application_1726669773678_0044,2024-09-20T16:26:11
0,1,206848,30720,237568,203,29,232,29,29,0,0,12.5,12.9,application_1726669773678_0044,2024-09-20T16:26:13
0,1,206848,30720,237568,203,29,232,29,29,0,0,12.5,12.9,application_1726669773678_0044,2024-09-20T16:26:15
0,1,206848,30720,237568,203,29,232,29,29,0,0,12.5,12.9,application_1726669773678_0044,2024-09-20T16:26:17
0,1,206848,30720,237568,203,29,232,29,29,0,0,12.5,12.9,application_1726669773678_0044,2024-09-20T16:26:19
0,1,206848,30720,237568,203,29,232,29,29,0,0,12.5,12.9,application_1726669773678_0044,2024-09-20T16:26:21
0,1,206848,30720,237568,203,29,232,29,29,0,0,12.5,12.9,application_1726669773678_0044,2024-09-20T16:26:23
0,1,207872,29696,237568,204,28,232,29,29,0,0,12.1,12.5,application_1726669773678_0044,2024-09-20T16:26:25
0,1,208896,28672,237568,205,27,232,29,29,0,0,11.6,12.1,application_1726669773678_0044,2024-09-20T16:26:27
0,1,211968,25600,237568,208,24,232,29,29,0,0,10.3,10.8,application_1726669773678_0044,2024-09-20T16:26:29
0,1,212992,24576,237568,209,23,232,29,29,0,0,9.9,10.3,application_1726669773678_0044,2024-09-20T16:26:31
