appsPending,appsRunning,availableMB,allocatedMB,totalMB,availableVirtualCores,allocatedVirtualCores,totalVirtualCores,totalNodes,activeNodes,unhealthyNodes,shutdownNodes,cpuUsage,memoryUsage,jobId,timestamp
0,1,211968,25600,237568,208,24,232,29,29,0,0,10.3,10.8,application_1727684395822_0128,2024-10-02T00:52:45
0,1,214016,23552,237568,210,22,232,29,29,0,0,9.5,9.9,application_1727684395822_0128,2024-10-02T00:52:47
0,1,216064,21504,237568,212,20,232,29,29,0,0,8.6,9.1,application_1727684395822_0128,2024-10-02T00:52:50
0,1,223232,14336,237568,219,13,232,29,29,0,0,5.6,6.0,application_1727684395822_0128,2024-10-02T00:52:52
0,1,228352,9216,237568,224,8,232,29,29,0,0,3.4,3.9,application_1727684395822_0128,2024-10-02T00:52:54
0,1,234496,3072,237568,230,2,232,29,29,0,0,0.9,1.3,application_1727684395822_0128,2024-10-02T00:52:56
0,1,206848,30720,237568,203,29,232,29,29,0,0,12.5,12.9,application_1727684395822_0129,2024-10-02T00:54:12
0,1,206848,30720,237568,203,29,232,29,29,0,0,12.5,12.9,application_1727684395822_0129,2024-10-02T00:54:14
0,1,206848,30720,237568,203,29,232,29,29,0,0,12.5,12.9,application_1727684395822_0129,2024-10-02T00:54:16
0,1,206848,30720,237568,203,29,232,29,29,0,0,12.5,12.9,application_1727684395822_0129,2024-10-02T00:54:18
0,1,206848,30720,237568,203,29,232,29,29,0,0,12.5,12.9,application_1727684395822_0129,2024-10-02T00:54:20
0,1,206848,30720,237568,203,29,232,29,29,0,0,12.5,12.9,application_1727684395822_0129,2024-10-02T00:54:22
0,1,206848,30720,237568,203,29,232,29,29,0,0,12.5,12.9,application_1727684395822_0129,2024-10-02T00:54:24
0,1,206848,30720,237568,203,29,232,29,29,0,0,12.5,12.9,application_1727684395822_0129,2024-10-02T00:54:26
0,1,206848,30720,237568,203,29,232,29,29,0,0,12.5,12.9,application_1727684395822_0129,2024-10-02T00:54:28
0,1,206848,30720,237568,203,29,232,29,29,0,0,12.5,12.9,application_1727684395822_0129,2024-10-02T00:54:30
