metricsType,appsPending,appsRunning,availableMB,allocatedMB,totalMB,availableVirtualCores,allocatedVirtualCores,totalVirtualCores,totalNodes,activeNodes,unhealthyNodes,shutdownNodes,cpuUsage,memoryUsage,jobId,timestamp
metricsType=cluster,0,1,13312,35840,49152,14,34,48,6,6,0,0,70.8,72.9,application_1710848715047_0005,1710849370.389452
metricsType=cluster,0,1,13312,35840,49152,14,34,48,6,6,0,0,70.8,72.9,application_1710848715047_0005,1710849374.102945
metricsType=cluster,0,1,13312,35840,49152,14,34,48,6,6,0,0,70.8,72.9,application_1710848715047_0005,1710849377.7827435
metricsType=cluster,0,1,13312,35840,49152,14,34,48,6,6,0,0,70.8,72.9,application_1710848715047_0005,1710849381.417299
metricsType=cluster,0,1,13312,35840,49152,14,34,48,6,6,0,0,70.8,72.9,application_1710848715047_0005,1710849385.0213208
metricsType=cluster,0,1,13312,35840,49152,14,34,48,6,6,0,0,70.8,72.9,application_1710848715047_0005,1710849388.62023
metricsType=cluster,0,1,15360,33792,49152,16,32,48,6,6,0,0,66.7,68.8,application_1710848715047_0005,1710849392.113015
metricsType=cluster,0,1,16384,32768,49152,17,31,48,6,6,0,0,64.6,66.7,application_1710848715047_0005,1710849395.6834304
metricsType=cluster,0,1,22528,26624,49152,23,25,48,6,6,0,0,52.1,54.2,application_1710848715047_0005,1710849399.2057571
metricsType=cluster,0,1,26624,22528,49152,27,21,48,6,6,0,0,43.8,45.8,application_1710848715047_0005,1710849402.6729898
metricsType=cluster,0,1,32768,16384,49152,33,15,48,6,6,0,0,31.2,33.3,application_1710848715047_0005,1710849406.1400397
metricsType=cluster,0,1,41984,7168,49152,42,6,48,6,6,0,0,12.5,14.6,application_1710848715047_0005,1710849410.644135
metricsType=cluster,0,1,47104,2048,49152,47,1,48,6,6,0,0,2.1,4.2,application_1710848715047_0006,1710849453.148807
metricsType=cluster,0,1,27648,21504,49152,28,20,48,6,6,0,0,41.7,43.8,application_1710848715047_0006,1710849456.433591
metricsType=cluster,0,1,9216,39936,49152,10,38,48,6,6,0,0,79.2,81.2,application_1710848715047_0006,1710849459.7304335
metricsType=cluster,0,1,12288,36864,49152,13,35,48,6,6,0,0,72.9,75.0,application_1710848715047_0006,1710849463.0730586
metricsType=cluster,0,1,12288,36864,49152,13,35,48,6,6,0,0,72.9,75.0,application_1710848715047_0006,1710849466.3895943
metricsType=cluster,0,1,12288,36864,49152,13,35,48,6,6,0,0,72.9,75.0,application_1710848715047_0006,1710849469.732846
metricsType=cluster,0,1,12288,36864,49152,13,35,48,6,6,0,0,72.9,75.0,application_1710848715047_0006,1710849473.241949
metricsType=cluster,0,1,12288,36864,49152,13,35,48,6,6,0,0,72.9,75.0,application_1710848715047_0006,1710849476.7905304
metricsType=cluster,0,1,12288,36864,49152,13,35,48,6,6,0,0,72.9,75.0,application_1710848715047_0006,1710849480.493429
metricsType=cluster,0,1,13312,35840,49152,14,34,48,6,6,0,0,70.8,72.9,application_1710848715047_0006,1710849484.1944199
metricsType=cluster,0,1,13312,35840,49152,14,34,48,6,6,0,0,70.8,72.9,application_1710848715047_0006,1710849488.6848254
metricsType=cluster,0,1,13312,35840,49152,14,34,48,6,6,0,0,70.8,72.9,application_1710848715047_0006,1710849492.200637
metricsType=cluster,0,1,13312,35840,49152,14,34,48,6,6,0,0,70.8,72.9,application_1710848715047_0006,1710849495.7300448
metricsType=cluster,0,1,13312,35840,49152,14,34,48,6,6,0,0,70.8,72.9,application_1710848715047_0006,1710849499.2545335
metricsType=cluster,0,1,13312,35840,49152,14,34,48,6,6,0,0,70.8,72.9,application_1710848715047_0006,1710849502.7656043
