metricsType,cpu_percent,cpu_count,mem_percent,mem_total,net_upload,net_download,timestamp,jobId
"metricsType=""worker4",100.0,2,19.9,16741949440,334360031680,330569027752,1710855593.8455458,application_1710848715047_0052
"metricsType=""worker3",100.0,2,20.8,16741928960,261260623808,298104554914,1710855593.8495677,application_1710848715047_0052
"metricsType=""worker1",51.0,2,16.5,16741896192,360841951106,327430108225,1710855593.844711,application_1710848715047_0052
"metricsType=""worker6",52.5,2,17.7,16741945344,291963569706,302722526000,1710855593.8550906,application_1710848715047_0052
"metricsType=""worker5",99.5,2,21.9,16741928960,359836001433,326528934628,1710855593.8478546,application_1710848715047_0052
"metricsType=""worker2",99.7,2,19.7,16741908480,274253236343,297070602367,1710855597.0215847,application_1710848715047_0052
"metricsType=""worker1",52.1,2,16.5,16741896192,360917490452,327505645398,1710855597.0193784,application_1710848715047_0052
"metricsType=""worker3",100.0,2,20.8,16741928960,261338407080,298251087395,1710855597.0244212,application_1710848715047_0052
"metricsType=""worker5",99.8,2,21.9,16741928960,359984127312,326677056115,1710855597.0224652,application_1710848715047_0052
"metricsType=""worker4",99.7,2,19.9,16741949440,334518072232,330727065760,1710855597.0204182,application_1710848715047_0052
"metricsType=""worker6",52.8,2,17.7,16741945344,292044576776,302803530706,1710855597.0300431,application_1710848715047_0052
"metricsType=""worker1",51.2,2,16.5,16741896192,360996105998,327584274210,1710855600.1949587,application_1710848715047_0052
"metricsType=""worker5",99.4,2,22.0,16741928960,360128643875,326821547738,1710855600.1982396,application_1710848715047_0052
"metricsType=""worker3",100.0,2,20.8,16741928960,261415682639,298397291620,1710855600.200223,application_1710848715047_0052
"metricsType=""worker2",99.8,2,19.7,16741908480,274458535792,297206966677,1710855600.1975791,application_1710848715047_0052
"metricsType=""worker4",99.5,2,20.3,16741949440,334658360528,330867355955,1710855600.1965628,application_1710848715047_0052
"metricsType=""worker6",6.8,2,14.9,16741945344,292049072193,302808022502,1710855600.2058878,application_1710848715047_0052
"metricsType=""worker1",51.2,2,16.5,16741896192,361074531497,327662697355,1710855603.3458354,application_1710848715047_0052
"metricsType=""worker2",99.8,2,19.7,16741908480,274668813135,297348003691,1710855603.3483596,application_1710848715047_0052
"metricsType=""worker4",100.0,2,21.8,16741949440,334717392871,330926386700,1710855603.3470788,application_1710848715047_0052
"metricsType=""worker5",99.7,2,22.0,16741928960,360276639165,326969539082,1710855603.349183,application_1710848715047_0052
"metricsType=""worker3",100.0,2,20.8,16741928960,261493472104,298544314966,1710855603.3511577,application_1710848715047_0052
"metricsType=""worker6",0.3,2,14.9,16741945344,292049074521,302808023551,1710855603.3568501,application_1710848715047_0052
"metricsType=""worker1",51.7,2,16.5,16741896192,361152952580,327741116340,1710855606.5159674,application_1710848715047_0052
"metricsType=""worker2",99.5,2,19.7,16741908480,274883441666,297466158857,1710855606.5183127,application_1710848715047_0052
"metricsType=""worker4",100.0,2,23.5,16741949440,334804933389,331041290580,1710855606.5171413,application_1710848715047_0052
"metricsType=""worker3",99.7,2,20.8,16741928960,261565169422,298685117448,1710855606.5215163,application_1710848715047_0052
"metricsType=""worker5",99.7,2,22.0,16741928960,360421751693,327114646293,1710855606.5196245,application_1710848715047_0052
"metricsType=""worker6",0.2,2,14.9,16741945344,292049077889,302808025497,1710855606.5268934,application_1710848715047_0052
"metricsType=""worker1",51.8,2,16.5,16741896192,361233876550,327822037590,1710855609.6732938,application_1710848715047_0052
"metricsType=""worker4",99.8,2,23.5,16741949440,334904811379,331187135907,1710855609.674266,application_1710848715047_0052
"metricsType=""worker5",99.7,2,22.0,16741928960,360568592154,327261483175,1710855609.6764898,application_1710848715047_0052
"metricsType=""worker3",99.5,2,20.8,16741928960,261633540829,298821626442,1710855609.678545,application_1710848715047_0052
"metricsType=""worker2",99.5,2,19.7,16741908480,275113500608,297582101441,1710855609.6758208,application_1710848715047_0052
"metricsType=""worker6",0.3,2,14.9,16741945344,292049079961,302808026480,1710855609.683855,application_1710848715047_0052
"metricsType=""worker3",99.4,2,20.8,16741928960,261699725694,298958839540,1710855612.8290985,application_1710848715047_0052
"metricsType=""worker1",28.1,2,13.8,16741896192,361268632632,327856914530,1710855612.8240466,application_1710848715047_0052
"metricsType=""worker2",99.5,2,19.7,16741908480,275352609554,297701254280,1710855612.8263388,application_1710848715047_0052
"metricsType=""worker5",99.5,2,22.0,16741928960,360709812556,327402696305,1710855612.8272824,application_1710848715047_0052
"metricsType=""worker4",99.8,2,23.6,16741949440,335002446943,331333569561,1710855612.8252623,application_1710848715047_0052
"metricsType=""worker6",0.3,2,14.9,16741945344,292049082418,302808027469,1710855612.8350613,application_1710848715047_0052
"metricsType=""worker1",0.2,2,13.8,16741896192,361268635187,327856920011,1710855615.9739428,application_1710848715047_0052
"metricsType=""worker2",99.7,2,19.7,16741908480,275597645677,297829885200,1710855615.9762704,application_1710848715047_0052
"metricsType=""worker3",89.2,2,18.0,16741928960,261740071698,299071678544,1710855615.9790418,application_1710848715047_0052
"metricsType=""worker4",99.8,2,23.6,16741949440,335097578663,331472735542,1710855615.974989,application_1710848715047_0052
"metricsType=""worker5",99.7,2,22.0,16741928960,360849032459,327541775480,1710855615.9772446,application_1710848715047_0052
"metricsType=""worker6",0.0,2,14.9,16741945344,292049085029,302808028565,1710855615.9847462,application_1710848715047_0052
"metricsType=""worker1",0.5,2,13.8,16741896192,361268638263,327856930460,1710855619.15031,application_1710848715047_0052
"metricsType=""worker4",100.0,2,23.6,16741949440,335192530469,331614352759,1710855619.1516302,application_1710848715047_0052
"metricsType=""worker5",22.4,2,16.5,16741928960,360868659448,327561528256,1710855619.1541376,application_1710848715047_0052
"metricsType=""worker2",99.5,2,19.7,16741908480,275853655792,297960334440,1710855619.1530497,application_1710848715047_0052
"metricsType=""worker3",51.6,2,18.0,16741928960,261740366451,299150717690,1710855619.1560943,application_1710848715047_0052
